id;expected_joining_date;project;number_of_vacancies;employment_type;resource_type;rrf_number;preferred_education_type;date_of_requisition;requested_date;recommendation_date_01;recommendation_date_02;recommendation_date_03;recommendation_date_04;requisition_status;rejected_at;created_at;updated_at;is_deleted;total_onboard;preferred_skill_type;recruitment_nature;special_requirement;recommendation_date_05;functional_designation_id;band_id
1;2022-02-10;Croatia Account Metal;845;INTERN;BUDGET;Euro;Shirt relationships utilisation;2022-02-11;2022-02-11;2022-02-10;2022-02-11;2022-02-11;2022-02-11;OPEN;2022-02-10;2022-02-10T20:27:20;2022-02-10T19:45:00;true;56360;cross-platform value-added;PLANNED_ADDITION;Concrete Inlet;2022-02-11;1;1
2;2022-02-11;Canada invoice Shoals;219;REGULAR_PROVISIONAL_EMPLOYEE;NON_BUDGET;SAS lavender Rubber;Idaho invoice;2022-02-11;2022-02-10;2022-02-10;2022-02-11;2022-02-10;2022-02-10;PARTIALLY_CLOSED;2022-02-11;2022-02-11T06:33:20;2022-02-11T10:40:38;true;76869;Paradigm multi-byte program;NEW_RECRUITMENT;Intranet;2022-02-11;2;2
3;2022-02-11;Frozen Automotive;983;INTERN;NON_BUDGET;New Account;Senior;2022-02-11;2022-02-11;2022-02-10;2022-02-11;2022-02-11;2022-02-11;PENDING;2022-02-10;2022-02-11T07:06:02;2022-02-10T23:46:43;true;44062;Tactics Intelligent Practical;NEW_RECRUITMENT;Montenegro Balboa Industrial;2022-02-10;3;3
4;2022-02-11;Creative exuding front-end;945;REGULAR_CONFIRMED_EMPLOYEE;NON_BUDGET;Web;facilitate matrix seamless;2022-02-10;2022-02-11;2022-02-11;2022-02-11;2022-02-10;2022-02-11;CLOSED;2022-02-10;2022-02-10T14:38:47;2022-02-11T12:12:36;true;69992;visualize;PLANNED_ADDITION;channels access;2022-02-10;4;4
5;2022-02-10;Assistant;423;REGULAR_CONFIRMED_EMPLOYEE;NON_BUDGET;SDD Towels Steel;Dynamic;2022-02-10;2022-02-10;2022-02-10;2022-02-10;2022-02-11;2022-02-11;IN_PROGRESS;2022-02-10;2022-02-10T19:54:51;2022-02-10T14:46:48;false;85852;lime Implementation;PLANNED_ADDITION;up Profit-focused;2022-02-11;5;5
6;2022-02-10;Account;112;CONTRACTUAL_EMPLOYEE;NON_BUDGET;North efficient;portals;2022-02-11;2022-02-11;2022-02-10;2022-02-11;2022-02-11;2022-02-11;IN_PROGRESS;2022-02-10;2022-02-11T08:10:01;2022-02-10T15:28:50;true;76124;Berkshire tan;REPLACEMENT;markets;2022-02-10;6;6
7;2022-02-11;Borders Senior next-generation;531;REGULAR_CONFIRMED_EMPLOYEE;NON_BUDGET;microchip Solutions;driver cross-media;2022-02-10;2022-02-11;2022-02-11;2022-02-10;2022-02-11;2022-02-10;IN_PROGRESS;2022-02-11;2022-02-11T09:52:25;2022-02-11T10:30:17;false;63599;Function-based quantifying Savings;REPLACEMENT;Generic;2022-02-11;7;7
8;2022-02-11;Pakistan IB up;11;REGULAR_PROVISIONAL_EMPLOYEE;BUDGET;Steel;Cyprus Directives;2022-02-11;2022-02-10;2022-02-11;2022-02-10;2022-02-10;2022-02-10;IN_PROGRESS;2022-02-10;2022-02-10T19:32:32;2022-02-10T14:42:13;false;73599;Principal;REPLACEMENT;ROI;2022-02-11;8;8
9;2022-02-11;Shoes TCP Belarus;794;REGULAR_CONFIRMED_EMPLOYEE;BUDGET;generation;multimedia;2022-02-10;2022-02-11;2022-02-10;2022-02-10;2022-02-11;2022-02-10;PARTIALLY_CLOSED;2022-02-10;2022-02-11T02:05:16;2022-02-11T07:34:32;false;43621;intranet Automotive;NEW_RECRUITMENT;Micronesia Buckinghamshire;2022-02-11;9;9
10;2022-02-11;Kroon Forward Cambridgeshire;207;INTERN;BUDGET;Account;Representative;2022-02-10;2022-02-10;2022-02-11;2022-02-10;2022-02-11;2022-02-11;OPEN;2022-02-10;2022-02-10T19:03:40;2022-02-10T19:53:52;true;86158;invoice ivory technologies;REPLACEMENT;Shirt;2022-02-10;10;10
