id;purpose;remarks;status;created_at;updated_at;sanction_at;month;year;reference_number;created_by_id;employee_id
1;Wooden harness Unbranded;Principal Proactive;PENDING;2022-01-24;2022-01-24;2022-01-23;AUGUST;19967;Total Plastic;1;1
2;copying;National;APPROVED;2022-01-23;2022-01-23;2022-01-24;FEBRUARY;60116;functionalities Cambridgeshire Handcrafted;2;2
3;Optional Ports;RSS quantifying;NOT_APPROVED;2022-01-23;2022-01-23;2022-01-23;MAY;82116;Assistant Russian alarm;2;3
4;Progressive Bedfordshire tan;optical Cheese;PENDING;2022-01-24;2022-01-24;2022-01-24;MARCH;29144;multi-byte Well Overpass;1;4
5;Islands Way Alaska;connecting;APPROVED;2022-01-23;2022-01-23;2022-01-23;MAY;9783;compress Electronics Handmade;1;5
6;Optimization mint;Cambridgeshire Fresh;APPROVED;2022-01-23;2022-01-23;2022-01-23;JANUARY;63920;blockchains;1;6
7;Awesome;Road Mountain Chair;APPROVED;2022-01-23;2022-01-23;2022-01-23;MARCH;68168;Gorgeous back-end Beauty;2;7
8;Dollar Borders;Cheese rich Loan;PENDING;2022-01-24;2022-01-23;2022-01-23;APRIL;96417;Shoes;2;8
9;Unit system;Digitized Electronics Account;NOT_APPROVED;2022-01-24;2022-01-24;2022-01-24;JANUARY;2936;Quality Fantastic Wall;2;9
10;Alabama interfaces Viaduct;3rd Analyst communities;NOT_APPROVED;2022-01-23;2022-01-23;2022-01-24;MAY;55198;Cambridgeshire Tactics Cheese;1;10
