id;model_name;chassis_number;registration_number;status;capacity;remarks;created_at;updated_at;approved_at;assigned_driver_id
1;SMS Shoes;Vision-oriented;Operative 1080p;PENDING;718;Creative Chicken;2022-06-12T10:01:30;2022-06-11T18:26:16;2022-06-12T09:06:04;1
2;relationships Bedfordshire Chips;invoice backing;index Architect JSON;APPROVED;68411;Account Texas Berkshire;2022-06-12T12:11:29;2022-06-12T09:11:55;2022-06-11T18:00:52;2
3;interfaces Utah neural;visualize Kansas gold;Human mobile Arkansas;PENDING;3679;Executive;2022-06-11T18:30:38;2022-06-12T10:18:00;2022-06-11T19:28:57;3
4;transitional;Towels experiences;Rustic;APPROVED;44706;attitude;2022-06-12T06:26:51;2022-06-12T08:59:40;2022-06-12T12:41:10;4
5;PNG;Tasty;Cotton needs-based;NOT_APPROVED;53578;synthesizing Electronics;2022-06-11T18:06:39;2022-06-11T14:00:39;2022-06-11T15:10:00;5
6;drive Cloned;client-server;Isle Jersey;PENDING;37155;structure Decentralized override;2022-06-11T21:24:48;2022-06-12T07:53:49;2022-06-12T03:07:55;6
7;Metal interface;Berkshire GB USB;Re-engineered Unbranded Practical;APPROVED;49058;extend Specialist;2022-06-12T04:25:14;2022-06-12T01:38:34;2022-06-11T22:55:14;7
8;Electronics deposit Uruguay;quantifying Tuna;withdrawal connect RAM;APPROVED;98924;Handmade;2022-06-12T07:26:34;2022-06-11T19:52:30;2022-06-12T03:23:43;8
9;synthesize;Tasty Division;Berkshire Burkina;NOT_APPROVED;91080;Sahara;2022-06-12T01:10:28;2022-06-12T07:14:36;2022-06-12T01:28:59;9
10;Chicken Cheese payment;Bike enable executive;Web methodologies;PENDING;68706;Oman;2022-06-11T22:26:42;2022-06-11T19:33:09;2022-06-12T03:22:57;10
