id;short_name;full_name;slogan;domain_name;email_address;hr_email_address;no_reply_email_address;contact_number;finance_manager_pin;finance_manager_signature;logo;document_letter_head;pf_statement_letter_head;tax_statement_letter_head;nominee_letter_head;salary_payslip_letter_head;festival_bonus_payslip_letter_head;recruitment_requisition_letter_head;has_organization_stamp;organization_stamp;linkedin;twitter;facebook;youtube;instagram;whatsapp
1;Intelligent open-source Kentucky;orchid Bosnia CSS;bandwidth Bacon;circuit;help-desk Kenya;Rupee;Open-source violet withdrawal;paradigms;Utah Sleek bypassing;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;overriding Uruguayo;Account Optimization;virtual Falls;hack Parkway green;programming;Dynamic grey incubate
2;cross-platform;Chicken Rustic;bandwidth Forward blue;Pizza;invoice Creative;Intelligent calculate Mouse;value-added Fish;deposit Multi-channelled;synthesizing website;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;parsing Roads microchip;Factors Checking;driver Account Salad;Wells;experiences;Brand Bedfordshire Assistant
3;enterprise ivory;olive Supervisor;Customizable generate;high-level impactful;Prairie;solid holistic;South;seize Yemen;Integration quantifying Configuration;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;sticky;auxiliary contextually-based Technician;online Steel;Buckinghamshire up encompassing;embrace Unbranded Granite;XSS Regional Quality-focused
4;Phased;Zloty cross-media invoice;Credit Alaska SCSI;Fish;payment invoice;sensor;Account ROI sensor;Mayen Wooden;blue Organized;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;JSON;hacking Account;Senior archive Representative;frictionless Ball;Court;revolutionary
5;XSS;Future driver global;XSS Granite;Virginia;payment;Dynamic virtual Rupee;leading monitor;Berkshire Practical;Small Ergonomic;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;gold homogeneous Loop;Horizontal real-time;Account compressing harness;Loan projection seize;hacking Islands;Avon
6;Frozen Republic drive;Handmade Rustic;Central human-resource;Turnpike;Self-enabling Dollar Keyboard;Pizza synthesize;Music collaboration SMS;maximized;Versatile Loan;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;red Gardens;Cotton Games microchip;Stand-alone Generic generating;cyan transform value-added;Gardens Operations connecting;cross-platform pixel Republic
7;out-of-the-box upward-trending;haptic;scalable Avon;Pound Identity;exuding Account;wireless payment Overpass;interface Polynesia Strategist;Borders Rubber;reboot Orchestrator;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;Senior gold;system Fresh;payment Soap Nebraska;Israeli Rubber sensor;Loan end-to-end Dynamic;transition Shilling Mobility
8;Beauty overriding Director;Oklahoma Granite Designer;Avon invoice;navigating;Checking Kids;Generic Curve Connecticut;National;Sleek ability blue;Gloves Fantastic Incredible;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;Liaison Cambridgeshire;Center drive Road;Granite pink;Dynamic Infrastructure;Shirt ROI Marketing;magenta SCSI Cotton
9;drive Australian;payment payment;pink;violet interactive;Solutions redundant Director;systems help-desk Berkshire;cyan Throughway;firewall Samoa Sleek;grow Salad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false;../fake-data/blob/hipster.txt;protocol quantify payment;Cotton invoice;payment drive;IB bus;Hryvnia Tools solid;Bedfordshire
10;East;Fuerte;24/365;Account;open-source Home;Soft Metrics redefine;Incredible;Enterprise-wide indigo Bike;Polarised Chicken Customer;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true;../fake-data/blob/hipster.txt;British;FTP Decentralized quantify;Small channels;Salad overriding;action-items override quantifying;Keyboard Director
